Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Name-additional
1,C,Francisco Mejía#,26,93,299,289,32,70,22,0,6,31,0,0,7,65,0.242,0.264,0.381,0.645,86,110,6,2,0,1,0,mejiafr01
2,1B,Ji Man Choi*,31,113,419,356,36,83,22,0,11,52,0,0,58,123,0.233,0.341,0.388,0.729,113,138,3,2,0,3,3,choiji01
3,2B,Brandon Lowe*,27,65,266,235,31,52,10,2,8,25,1,0,27,61,0.221,0.308,0.383,0.691,101,90,1,3,0,1,0,lowebr01
4,SS,Taylor Walls#,25,142,466,407,53,70,18,2,8,33,10,3,52,120,0.172,0.268,0.285,0.553,62,116,6,2,2,2,0,wallsta01
5,3B,Yandy Díaz,30,137,558,473,71,140,33,0,9,57,3,3,78,60,0.296,0.401,0.423,0.824,142,200,10,6,0,1,2,diazya01
6,LF,Randy Arozarena,27,153,645,586,72,154,41,3,20,89,32,12,46,156,0.263,0.327,0.445,0.773,123,261,17,11,0,2,2,arozara01
7,CF,Kevin Kiermaier*,32,63,221,206,28,47,8,0,7,22,6,1,14,61,0.228,0.281,0.369,0.649,88,76,2,1,0,0,0,kiermke01
8,RF,Manuel Margot,27,89,363,336,36,92,18,2,4,47,7,3,24,68,0.274,0.325,0.375,0.7,104,126,7,2,0,1,1,margoma01
9,DH,Harold Ramírez,27,120,435,403,46,121,24,0,6,58,3,5,19,72,0.3,0.343,0.404,0.747,118,163,5,9,0,4,1,ramirha02
10,IF,Isaac Paredes,23,111,381,331,48,68,16,0,20,45,0,1,44,67,0.205,0.304,0.435,0.74,113,144,12,4,0,2,0,paredis01
11,SS,Wander Franco#,21,83,344,314,46,87,20,3,6,33,8,0,26,33,0.277,0.328,0.417,0.746,116,131,5,0,0,4,1,francwa01
12,OF,Brett Phillips*,28,75,208,184,21,27,4,0,5,14,7,0,16,85,0.147,0.225,0.25,0.475,39,46,0,3,4,1,0,phillbr02
13,RF,Josh Lowe*,24,52,198,181,24,40,12,2,2,13,3,0,15,66,0.221,0.284,0.343,0.627,82,62,1,1,1,0,1,lowejo01
14,LF,David Peralta*,34,47,180,161,10,41,11,1,0,18,0,1,14,40,0.255,0.317,0.335,0.652,91,54,2,2,0,3,1,peralda01
15,CF,Jose Siri,26,56,178,166,35,40,9,0,4,14,8,1,11,60,0.241,0.292,0.367,0.66,92,61,1,1,0,0,0,sirijo01
16,2B,Vidal Bruján#,24,52,162,147,13,24,5,0,3,16,5,5,12,37,0.163,0.228,0.259,0.487,42,38,2,1,0,2,0,brujavi01
17,C,Christian Bethancourt,30,44,151,149,16,38,6,0,7,15,1,0,2,39,0.255,0.265,0.436,0.701,100,65,3,0,0,0,0,bethach01
18,C,Mike Zunino,31,36,123,115,7,17,3,0,5,16,0,0,6,46,0.148,0.195,0.304,0.499,43,35,2,1,0,1,0,zuninmi01
19,2B,Yu Chang,26,36,105,96,11,25,3,0,3,12,0,0,7,27,0.26,0.305,0.385,0.69,100,37,3,0,0,2,0,changyu01
20,UT,Jonathan Aranda*,24,32,87,78,10,15,4,0,2,6,0,0,8,23,0.192,0.276,0.321,0.596,74,25,1,1,0,0,1,arandjo01
21,C,René Pinto,25,25,83,80,5,17,3,0,2,10,0,0,2,35,0.213,0.241,0.325,0.566,64,26,3,1,0,0,0,pintore02
22,UT,Luke Raley*,27,22,72,61,7,12,2,0,1,4,0,0,7,24,0.197,0.306,0.279,0.584,73,17,1,3,0,1,0,raleylu01
23,OF,Roman Quinn#,29,21,47,42,7,11,2,2,0,4,0,2,4,21,0.262,0.34,0.405,0.745,117,17,0,1,0,0,0,quinnro01
24,UT,Miles Mastrobuoni*,26,8,17,16,1,3,0,0,0,0,1,0,1,6,0.188,0.235,0.188,0.423,26,3,0,0,0,0,0,mastrmi01
